Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 08/25  04:00:00,0.932405385221139,0.268678348796646,0.000000000000000E+000,0.000000000000000E+000,0.395110998806552,0.135994118065527,0.531105116872079,0.135994118065527,5.102787345145721E-002,1.046631908413857E-002,7.360089274675015E-002,0.251130171006716,0.251379288180521 
 08/25  05:00:00,0.915848563317753,0.404440993104572,0.000000000000000E+000,0.000000000000000E+000,0.347644574694037,0.122315963327232,0.469960538021268,0.122315963327232,5.402951384857650E-002,1.108198483238577E-002,8.546042728064268E-002,0.280241087274882,0.385136631798787 
 08/25  06:00:00,1.07306820730092,0.655912421909273,0.000000000000000E+000,0.000000000000000E+000,0.366687987762122,0.126780467638417,0.493468455400537,0.126780467638417,8.704756486667618E-002,1.785430533523284E-002,0.135831851626414,0.323791018012060,0.633608130771760 
 08/25  07:00:00,1.29970682211049,0.720955194979256,0.000000000000000E+000,0.000000000000000E+000,0.386008888799025,0.130789407303367,0.516798296102392,0.130789407303367,0.153083600405012,3.139895452454353E-002,0.209298719283835,0.344052215734702,0.697255214561739 
 08/25  08:00:00,1.23387144833382,0.695934668350453,0.000000000000000E+000,0.000000000000000E+000,0.385259060589541,0.128065840187800,0.513324900777342,0.128065840187800,0.120065615884776,2.462662992988818E-002,0.269903014330297,0.290876275351520,0.675897703859381 
 08/25  09:00:00,1.23523787360813,0.635424403519016,0.000000000000000E+000,0.000000000000000E+000,0.431515626995445,0.137887109498936,0.569402736494380,0.137887109498936,6.003279464281535E-002,1.231331632888018E-002,0.330854782137564,0.247559231944487,0.618371326454157 
 08/25  10:00:00,1.56708068005801,0.570320305051073,0.000000000000000E+000,0.000000000000000E+000,0.684512965084045,0.209464881209825,0.893977846293869,0.209464881209825,4.802623305433765E-002,9.850653335891362E-003,0.346769520115789,0.253381415198121,0.552866167848280 
 08/25  11:00:00,1.69732802923685,0.513545753698472,0.000000000000000E+000,0.000000000000000E+000,0.780799209665885,0.229048496351424,1.00984770601731,0.229048496351424,4.802623305433765E-002,9.850653335891362E-003,0.361069380461137,0.253459044308169,0.496086269027173 
 08/25  12:00:00,1.82817339176934,0.468994161132309,0.000000000000000E+000,0.000000000000000E+000,0.897249353521514,0.258255315215642,1.15550466873716,0.258255315215642,4.802623305433765E-002,9.850653335891362E-003,0.350527381326447,0.249189443255505,0.451828787228829 
 08/25  13:00:00,1.98486693845167,0.444863407103349,0.000000000000000E+000,0.000000000000000E+000,1.04017278005022,0.294490559930521,1.33466333998074,0.294490559930521,4.802623305433765E-002,9.850653335891362E-003,0.319445425549819,0.257806274470882,0.427104464195729 
 08/25  14:00:00,2.18288457134125,0.420082446629030,0.000000000000000E+000,0.000000000000000E+000,1.20752509190956,0.335453081309298,1.54297817321886,0.335453081309298,4.802623305433765E-002,9.850653335891362E-003,0.294631581622230,0.272322918049941,0.401323527110834 
 08/25  15:00:00,2.38453133988812,0.425291740760034,0.000000000000000E+000,0.000000000000000E+000,1.34946784658975,0.373106016255799,1.72257386284554,0.373106016255799,4.802623305433765E-002,9.850653335891362E-003,0.301544984082964,0.287460594509386,0.405490064883215 
 08/25  16:00:00,2.68496117286939,0.460952076617713,0.000000000000000E+000,0.000000000000000E+000,1.50875435618825,0.416161705001273,1.92491606118953,0.416161705001273,5.102787345145721E-002,1.046631908413857E-002,0.343460405072082,0.340015502012184,0.437530164562496 
 08/25  17:00:00,3.18168731322556,0.536637020511984,0.000000000000000E+000,0.000000000000000E+000,1.76821243949023,0.485431776811927,2.25364421630216,0.485431776811927,6.603607543705420E-002,1.354464782537459E-002,0.420322867033191,0.413064494567770,0.508183140592851 
 08/25  18:00:00,3.11986220009976,0.606256282064665,0.000000000000000E+000,0.000000000000000E+000,1.64916661207150,0.460162588371179,2.10932920044268,0.460162588371179,0.111060674744059,2.277962859333829E-002,0.383154291509830,0.448463368749861,0.575363956506905 
 08/25  19:00:00,3.00138364244658,0.619763389484473,0.000000000000000E+000,0.000000000000000E+000,1.51652207090184,0.431154305289082,1.94767637619093,0.431154305289082,0.216118055394306,4.432793660167091E-002,0.315283878980793,0.462902383218871,0.587876434784644 
 08/25  20:00:00,2.99502186235682,0.581160530332061,0.000000000000000E+000,0.000000000000000E+000,1.37633665609827,0.397733728978337,1.77407038507660,0.397733728978337,0.369201655799319,7.572690476557534E-002,0.282131553876513,0.478816350778802,0.548177344588550 
 08/25  21:00:00,2.92889722779866,0.532583061857270,0.000000000000000E+000,0.000000000000000E+000,1.24242172372288,0.365006530368846,1.60742825409172,0.365006530368846,0.474259036449565,9.727519913454705E-002,0.267221967130982,0.467637758931825,0.500369911578590 
 08/25  22:00:00,2.47631096311923,0.456246928579109,0.000000000000000E+000,0.000000000000000E+000,1.08756805881847,0.325531162433763,1.41309922125224,0.325531162433763,0.354193420564790,7.264856920465887E-002,0.216614189355009,0.404680550682537,0.428370575258597 
 08/25  23:00:00,2.03202261227187,0.375394896147852,0.000000000000000E+000,0.000000000000000E+000,0.936663156760551,0.284959115493657,1.22162227225421,0.284959115493657,0.246134459365500,5.048459408414295E-002,0.147046405988563,0.351659868519450,0.351170863816772 
 08/25  24:00:00,1.55877459628715,0.287294646591058,0.000000000000000E+000,0.000000000000000E+000,0.762789069503367,0.240126454912494,1.00291552441586,0.240126454912494,0.126068843480724,2.585796415425477E-002,9.798097682479152E-002,0.290876275351520,0.267257682099987 
 08/26  01:00:00,1.28548136180647,0.250616225433797,0.000000000000000E+000,0.000000000000000E+000,0.622163542316066,0.202485434011880,0.824648976327948,0.202485434011880,7.504097667905331E-002,1.539165052586057E-002,8.750431654647417E-002,0.267820429667131,0.232167459088934 
 08/26  02:00:00,1.10389912413504,0.239821635955547,0.000000000000000E+000,0.000000000000000E+000,0.515182797188480,0.173103614935535,0.688286412124014,0.173103614935535,5.102787345145721E-002,1.046631908413857E-002,7.432824215023587E-002,0.264715265265193,0.221586768350915 
